Unnamed: 0,b_b_mm,h_b_mm,As_d,As_n,L_kr_m,q_ts_m,def,target
60661,250,450,20,3,4.5,0.51,0.085,1
60664,410,475,18,3,3.6,1.49,0.17,1
60668,410,525,20,3,2.7,0.79,0.037,1
60678,375,465,20,3,5.4,1.73,0.38,1
60686,450,470,14,3,3.9,0.97,0.208,1
60695,395,405,20,2,4.5,1.68,0.435,1
60696,460,370,12,3,1.5,2.17,0.119,1
60700,245,505,18,2,1.5,1.98,0.055,1
60715,310,550,12,3,4.2,0.51,0.145,1
60725,445,550,18,2,2.4,1.27,0.08,1
60727,170,570,14,3,3.6,1.44,0.224,1
60733,185,430,16,2,3.0,2.24,0.379,1
60736,475,460,16,1,1.2,2.08,0.098,1
60743,225,525,16,1,3.3,1.0,0.313,1
60746,210,475,20,3,1.2,1.54,0.018,1
60751,195,440,14,2,5.4,1.11,0.75,1
60757,480,590,12,2,4.5,0.67,0.299,1
60781,455,585,16,3,5.1,1.75,0.393,1
60787,395,590,12,2,1.5,2.37,0.118,1
60790,145,405,16,1,4.5,1.02,0.804,1
60792,450,410,20,3,1.5,1.65,0.032,1
60798,440,395,20,1,4.2,1.44,0.644,1
60803,380,510,20,1,2.4,1.7,0.188,1
60814,155,570,14,3,1.2,0.68,0.012,1
60824,420,430,18,3,4.5,1.08,0.215,1
60825,480,485,18,1,4.2,1.44,0.625,1
60831,245,505,14,2,1.5,2.32,0.103,1
60835,170,360,14,2,3.6,1.82,0.693,1
60843,260,555,18,1,2.7,1.62,0.255,1
60846,285,525,20,3,3.6,1.28,0.111,1
60849,455,530,12,3,4.2,2.43,0.711,1
60850,495,445,14,1,3.0,1.42,0.559,1
60853,140,360,18,3,5.1,0.7,0.268,1
60857,215,475,12,2,3.9,1.79,0.769,1
60860,225,570,20,1,1.5,1.33,0.052,1
60870,140,405,16,1,2.4,1.9,0.427,1
60872,325,550,12,3,1.5,1.14,0.041,1
60874,390,490,16,3,1.7999999999999998,2.44,0.083,1
60877,155,480,18,2,1.2,2.12,0.042,1
60878,310,590,20,3,3.9,0.79,0.07,1
60883,190,355,20,1,3.6,1.51,0.585,1
60893,165,375,16,3,5.4,0.9,0.414,1
60897,265,540,20,1,3.6,0.68,0.161,1
60898,175,375,12,2,6.0,0.69,0.917,1
60899,325,575,16,2,5.1,1.89,0.648,1
60903,140,440,16,3,3.3,0.99,0.143,1
60905,175,530,18,2,2.1,0.79,0.042,1
60918,195,580,14,1,5.1,0.91,0.793,1
60935,305,450,18,1,1.2,2.18,0.085,1
60938,450,595,12,1,3.0,1.66,0.65,1
60940,250,535,12,3,2.4,1.65,0.159,1
60942,415,445,16,3,6.0,2.31,0.974,1
60943,345,580,12,3,4.8,1.75,0.612,1
60945,280,535,16,2,3.0,2.24,0.289,1
60948,365,490,20,2,1.2,1.14,0.017,1
60951,360,385,20,1,2.1,2.33,0.27,1
60955,290,440,12,1,3.3,1.29,0.842,1
60961,405,540,16,3,3.3,0.68,0.07,1
60971,290,585,20,1,5.1,0.7,0.303,1
60981,205,440,12,2,1.5,2.21,0.153,1
60983,365,535,16,3,4.2,1.21,0.205,1
60985,360,600,18,1,2.4,0.8,0.091,1
60986,155,490,14,3,4.2,2.12,0.538,1
60987,235,385,14,3,3.3,2.01,0.4,1
60990,330,390,18,3,1.5,0.77,0.02,1
60991,270,400,12,2,3.9,1.34,0.688,1
60993,305,485,16,2,1.5,2.38,0.085,1
61000,215,490,12,3,1.2,1.32,0.035,1
61004,320,510,12,2,2.4,2.11,0.315,1
61044,230,480,20,3,1.7999999999999998,1.78,0.044,1
61071,410,550,12,2,2.1,1.81,0.19,1
61075,255,400,12,3,0.8999999999999999,2.01,0.037,1
61081,215,540,14,2,2.1,1.46,0.119,1
61091,420,450,18,1,2.7,2.43,0.474,1
61096,315,515,12,3,3.3,1.78,0.335,1
61097,170,510,18,2,5.1,0.82,0.27,1
61098,475,395,18,3,5.7,1.52,0.531,1
61112,350,465,16,2,1.7999999999999998,1.32,0.071,1
61123,440,365,16,1,3.0,1.74,0.657,1
61127,425,515,18,3,4.5,0.7,0.114,1
61128,405,450,12,1,2.4,2.37,0.796,1
61129,315,415,12,2,1.7999999999999998,1.38,0.144,1
61133,245,430,20,3,5.1,1.51,0.343,1
61140,315,395,16,1,0.8999999999999999,2.38,0.075,1
61148,415,510,18,3,3.9,0.78,0.096,1
61161,380,430,14,3,2.7,1.53,0.174,1
61166,355,595,14,3,4.2,1.63,0.317,1
61181,400,505,18,2,4.8,0.64,0.178,1
61184,365,430,18,3,3.3,2.32,0.251,1
61185,395,405,18,1,2.4,0.58,0.101,1
61188,175,470,18,3,5.1,1.26,0.321,1
61194,300,485,20,2,3.9,2.07,0.334,1
61195,380,570,20,1,4.2,2.05,0.615,1
61203,200,455,18,1,4.2,1.46,0.698,1
61215,490,490,20,3,4.5,0.99,0.139,1
61218,330,550,20,1,3.6,0.73,0.168,1
61228,385,465,16,2,2.1,1.63,0.119,1
61232,170,525,18,2,1.7999999999999998,0.52,0.021,1
61234,420,500,18,2,1.2,1.49,0.026,1
61235,350,555,18,3,1.5,2.13,0.036,1
61238,260,560,14,1,1.2,1.55,0.077,1
61246,345,560,14,3,1.5,1.32,0.035,1
61248,155,410,18,2,5.1,1.74,0.751,1
61250,285,440,20,2,4.2,1.05,0.221,1
61260,270,430,12,1,1.2,0.58,0.051,1
61263,465,585,14,3,4.2,0.59,0.116,1
61265,200,355,18,3,2.7,2.22,0.221,1
61267,240,460,20,2,4.8,0.93,0.246,1
61274,145,465,16,2,1.7999999999999998,0.85,0.048,1
61282,200,500,18,3,3.9,2.28,0.308,1
61285,450,550,14,3,2.4,1.97,0.135,1
61287,215,385,20,3,5.1,1.91,0.514,1
61290,190,545,20,1,2.4,1.29,0.136,1
61295,365,430,16,3,2.1,0.76,0.041,1
61296,295,375,18,1,4.2,1.17,0.683,1
61300,280,545,18,3,2.4,1.49,0.066,1
61301,220,375,16,3,1.2,0.77,0.017,1
61302,170,420,14,3,4.5,1.95,0.673,1
61307,340,585,14,3,1.5,0.72,0.018,1
61310,330,555,14,3,0.8999999999999999,0.91,0.009,1
61311,360,570,14,2,4.5,1.89,0.654,1
61312,360,575,14,1,1.5,1.08,0.081,1
61314,470,370,14,3,1.2,1.99,0.052,1
61316,285,370,18,1,3.3,0.88,0.322,1
61317,140,525,12,3,3.0,1.8,0.286,1
61318,190,500,18,3,5.4,0.57,0.149,1
61319,185,430,12,3,3.0,0.65,0.126,1
61320,480,365,20,1,4.8,1.53,0.973,1
61323,175,450,20,1,2.7,1.84,0.306,1
61328,440,525,16,2,2.1,0.75,0.048,1
61332,495,555,14,3,4.5,2.16,0.514,1
61340,490,575,14,3,3.3,0.81,0.1,1
61346,180,560,16,1,2.1,1.51,0.18,1
61357,230,550,16,3,3.9,1.88,0.275,1
61362,385,595,18,3,1.5,1.86,0.029,1
61365,285,525,16,3,5.4,1.74,0.506,1
61367,480,540,16,2,4.5,0.6,0.169,1
61369,320,490,18,2,3.9,2.36,0.453,1
61375,270,490,20,3,5.7,2.49,0.594,1
61379,150,435,16,1,1.7999999999999998,2.41,0.28,1
61380,355,515,14,2,4.5,0.8,0.309,1
61386,215,465,20,3,2.1,0.86,0.031,1
61387,345,470,14,3,5.1,1.37,0.507,1
61395,395,465,14,2,2.7,1.09,0.168,1
61400,305,580,20,1,3.6,1.52,0.331,1
61401,375,450,14,1,3.0,1.09,0.425,1
61403,405,590,20,1,2.4,0.64,0.06,1
61406,485,515,20,3,2.7,1.8,0.086,1
61423,310,515,20,1,2.4,1.29,0.142,1
61424,280,555,12,3,3.3,1.19,0.208,1
61425,405,455,18,2,5.7,1.23,0.541,1
61433,320,575,14,2,4.5,0.92,0.316,1
61438,485,450,14,2,1.5,1.41,0.069,1
61440,220,485,18,1,3.0,1.54,0.348,1
61446,445,425,12,3,3.9,1.55,0.495,1
61449,455,435,12,3,2.1,1.14,0.103,1
61457,460,600,14,1,3.6,1.18,0.488,1
61463,315,360,12,3,3.6,1.37,0.453,1
61467,170,485,14,3,2.1,0.99,0.063,1
61474,160,550,14,1,3.9,1.8,0.975,1
61477,245,405,20,2,5.4,0.84,0.327,1
61478,450,560,12,3,1.5,2.35,0.083,1
61479,245,355,20,2,1.7999999999999998,0.84,0.043,1
61483,245,545,16,3,5.1,1.68,0.422,1
61491,395,595,18,3,1.2,1.94,0.019,1
61504,295,590,16,2,2.1,1.46,0.083,1
61506,345,530,20,3,5.1,1.66,0.281,1
61511,275,470,14,1,4.5,1.14,0.96,1
61514,270,455,12,2,2.4,1.6,0.271,1
61524,220,555,20,3,1.7999999999999998,0.84,0.018,1
61530,365,580,20,3,0.8999999999999999,1.55,0.007,1
61531,450,520,20,2,2.4,1.71,0.094,1
61534,145,375,14,3,5.7,0.72,0.466,1
61538,400,455,20,1,4.5,0.65,0.286,1
61545,500,430,18,3,5.1,2.42,0.612,1
61556,390,500,14,3,4.5,2.16,0.579,1
61566,500,555,18,3,6.0,2.47,0.65,1
61573,165,495,20,1,2.4,2.06,0.244,1
61577,395,550,18,3,3.3,1.02,0.083,1
61584,455,480,14,3,5.4,1.43,0.574,1
61587,380,450,16,3,5.4,2.26,0.766,1
61588,415,595,16,3,2.1,1.23,0.046,1
61601,250,355,20,3,2.7,2.38,0.193,1
61611,230,430,18,2,4.8,1.2,0.414,1
61621,305,370,14,3,2.7,0.63,0.086,1
61622,210,420,20,3,1.7999999999999998,2.3,0.069,1
61623,225,395,20,3,3.6,2.29,0.294,1
61626,160,480,14,3,3.9,2.37,0.53,1
61631,400,550,20,3,3.9,1.78,0.167,1
61638,390,365,16,3,3.0,1.72,0.228,1
61651,435,490,14,2,4.8,1.48,0.681,1
61658,260,415,18,3,1.7999999999999998,1.74,0.061,1
61669,450,505,18,2,3.6,2.23,0.347,1
61670,315,400,12,1,3.0,1.06,0.632,1
61677,470,500,18,3,2.7,0.8,0.048,1
61679,455,465,14,2,1.5,2.2,0.105,1
61680,365,525,12,3,2.1,2.06,0.153,1
61681,215,450,20,1,5.7,1.08,0.791,1
61682,385,515,14,2,6.0,0.75,0.513,1
61684,195,460,12,3,3.6,2.46,0.637,1
61688,425,425,18,3,4.8,1.75,0.401,1
61691,310,390,16,3,2.7,0.53,0.054,1
61699,160,480,14,2,1.2,0.97,0.03,1
61700,390,600,14,2,1.7999999999999998,1.21,0.063,1
61702,435,520,16,1,5.4,0.88,0.736,1
61703,380,590,18,2,2.7,0.88,0.065,1
61708,460,500,18,3,3.6,1.45,0.155,1
61710,425,490,16,2,2.7,2.2,0.249,1
61715,235,365,16,3,6.0,1.61,0.896,1
61721,230,355,16,3,5.1,1.81,0.755,1
61725,310,465,12,1,4.2,0.98,0.977,1
61727,445,520,16,2,1.7999999999999998,0.85,0.04,1
61733,430,355,18,1,3.9,1.26,0.666,1
61750,240,400,18,3,0.8999999999999999,1.91,0.018,1
61756,225,355,12,3,2.1,1.48,0.173,1
61757,275,445,16,3,2.4,0.58,0.04,1
61758,250,450,20,2,3.0,1.9,0.201,1
61761,340,380,14,2,3.0,2.09,0.499,1
61770,485,430,18,1,3.0,1.08,0.273,1
61772,355,585,12,1,4.5,0.93,0.835,1
61774,295,515,16,2,3.3,2.18,0.354,1
61777,265,510,16,3,3.6,0.82,0.11,1
61778,220,465,20,2,3.6,1.39,0.206,1
61785,285,525,16,3,0.8999999999999999,2.29,0.018,1
61788,195,510,14,2,1.5,1.05,0.046,1
61789,395,390,16,2,2.4,0.86,0.099,1
61793,280,515,16,1,2.1,0.94,0.121,1
61799,190,465,18,1,1.5,1.4,0.084,1
61803,235,595,18,3,5.7,1.66,0.384,1
61808,255,370,14,3,5.4,0.98,0.542,1
61815,255,580,18,2,1.5,2.01,0.048,1
61816,350,380,16,2,0.8999999999999999,0.78,0.013,1
61818,385,545,20,3,1.5,1.5,0.021,1
61821,295,390,14,3,2.7,1.65,0.213,1
61824,455,585,14,3,5.4,1.98,0.643,1
61825,210,425,18,1,3.3,0.62,0.197,1
61826,265,400,14,1,1.2,1.79,0.127,1
61836,355,505,12,1,3.9,0.58,0.456,1
61837,175,425,20,1,4.8,0.68,0.382,1
61838,220,430,14,3,3.3,1.85,0.326,1
61843,195,525,12,1,1.7999999999999998,1.77,0.287,1
61846,210,580,20,1,2.4,1.0,0.098,1
61849,335,535,18,2,4.8,1.0,0.263,1
61851,475,545,14,2,1.2,2.02,0.052,1
61876,415,565,16,1,2.4,0.97,0.147,1
61892,415,385,16,1,1.2,1.27,0.073,1
61893,260,405,14,3,2.1,0.7,0.053,1
61894,485,555,18,1,5.4,0.79,0.491,1
61895,315,390,16,3,2.4,2.11,0.168,1
61897,155,570,20,3,3.9,2.07,0.21,1
61903,145,590,20,3,3.0,2.03,0.118,1
61916,365,550,18,3,3.6,1.69,0.165,1
61925,375,370,18,3,3.9,0.87,0.156,1
61931,445,495,14,3,5.7,0.97,0.42,1
61932,350,365,14,2,3.6,0.96,0.344,1
61947,180,385,20,3,1.2,1.76,0.027,1
61950,395,570,14,1,4.2,0.66,0.393,1
61957,160,505,20,1,2.7,2.34,0.344,1
61960,360,470,20,2,4.8,2.32,0.58,1
61965,235,395,14,1,4.5,0.86,0.876,1
61967,470,540,20,1,4.5,1.29,0.469,1
61973,355,590,18,1,5.4,1.23,0.72,1
61974,370,515,20,3,3.0,0.78,0.047,1
61977,405,595,14,2,1.7999999999999998,1.73,0.091,1
61996,480,505,18,3,4.5,1.06,0.175,1
62005,145,515,14,3,2.4,2.04,0.161,1
62030,225,475,14,1,3.9,1.06,0.666,1
62032,255,355,12,3,5.4,0.62,0.474,1
62035,395,545,12,1,3.0,0.96,0.412,1
62045,165,545,18,2,4.8,1.93,0.522,1
62048,350,490,12,2,3.6,2.3,0.804,1
62052,305,495,16,3,4.8,0.65,0.159,1
62053,210,540,20,3,2.1,1.54,0.046,1
62057,245,600,16,2,2.4,1.38,0.101,1
62071,175,420,20,1,3.9,0.76,0.286,1
62072,380,480,18,3,5.4,1.86,0.474,1
62076,285,555,20,1,6.0,1.15,0.731,1
62077,265,520,14,3,1.2,1.03,0.019,1
62086,270,520,12,2,4.8,0.76,0.446,1
62092,215,465,14,2,4.2,1.61,0.616,1
62098,345,515,14,2,3.6,1.27,0.314,1
62104,335,380,16,3,4.8,1.49,0.488,1
62113,225,505,16,2,4.2,1.37,0.373,1
62115,155,555,18,3,5.7,0.84,0.222,1
62117,195,475,12,2,1.5,1.48,0.094,1
62118,205,535,14,3,5.1,1.88,0.622,1
62120,205,465,20,1,3.3,2.31,0.548,1
62121,240,420,14,3,5.4,0.62,0.298,1
62129,290,560,12,2,4.8,0.51,0.276,1
62133,410,500,20,2,5.7,0.55,0.179,1
62142,425,355,16,2,3.0,0.57,0.114,1
62155,315,375,12,3,3.3,1.58,0.42,1
62164,445,435,18,3,5.1,1.26,0.317,1
62168,410,560,14,2,3.3,2.06,0.389,1
62171,220,600,20,2,1.5,0.65,0.012,1
62172,445,430,20,3,3.9,1.93,0.239,1
62178,305,410,12,3,3.6,1.44,0.413,1
62181,420,530,20,1,4.5,1.37,0.51,1
62190,420,580,18,2,1.2,2.16,0.032,1
62195,410,480,14,1,1.7999999999999998,1.67,0.219,1
62204,355,475,12,3,2.7,0.85,0.116,1
62215,340,465,20,2,3.6,0.66,0.094,1
62221,260,370,20,3,4.2,1.42,0.262,1
62228,445,395,18,1,3.6,1.02,0.407,1
62234,175,435,18,1,1.7999999999999998,1.51,0.14,1
62237,320,540,12,3,4.8,2.39,0.904,1
62245,320,500,16,3,6.0,1.62,0.609,1
62254,330,360,14,2,3.3,0.56,0.172,1
62256,240,425,14,1,3.0,1.35,0.564,1
62259,315,445,18,2,1.5,0.63,0.02,1
62270,205,530,16,1,3.6,0.66,0.244,1
62273,330,400,20,2,5.1,0.63,0.215,1
62287,430,440,16,1,2.7,2.38,0.595,1
62288,390,590,16,3,1.2,1.95,0.024,1
62293,430,460,20,3,5.1,2.01,0.394,1
62320,490,385,16,2,2.1,0.81,0.072,1
62322,280,515,12,1,1.5,2.49,0.284,1
62327,220,460,14,2,3.6,1.55,0.44,1
62334,335,400,14,3,5.1,1.89,0.838,1
62339,405,450,14,2,5.7,1.23,0.877,1
62345,315,520,16,1,3.0,1.92,0.498,1
62354,300,480,20,2,4.5,2.25,0.489,1
62355,300,520,16,2,4.8,1.58,0.536,1
62357,345,500,16,2,4.2,1.86,0.502,1
62366,320,365,20,3,1.7999999999999998,1.45,0.048,1
62369,155,595,20,2,1.7999999999999998,1.35,0.039,1
62385,410,485,18,3,2.1,2.49,0.094,1
62386,445,590,18,2,4.5,1.16,0.238,1
62387,370,500,14,3,3.6,0.94,0.162,1
62394,210,465,14,1,3.3,1.94,0.894,1
62404,460,495,18,2,4.2,0.83,0.18,1
62438,190,440,20,2,3.3,1.79,0.243,1
62445,490,500,14,2,4.2,2.2,0.757,1
62446,230,375,16,1,2.7,2.33,0.705,1
62449,220,395,18,1,1.5,1.92,0.137,1
62450,425,410,20,2,2.4,1.2,0.087,1
62458,340,385,16,3,3.3,0.51,0.078,1
62467,495,520,20,2,3.0,2.33,0.2,1
62475,400,570,16,3,4.5,2.03,0.367,1
62476,360,515,12,1,3.0,1.09,0.497,1
62479,355,560,14,2,1.7999999999999998,2.48,0.14,1
62487,435,440,12,2,2.4,2.41,0.418,1
62488,320,365,14,3,4.8,0.94,0.41,1
62489,335,510,20,2,4.5,2.28,0.459,1
62496,370,560,14,3,3.6,1.66,0.253,1
62507,360,520,18,3,2.1,0.87,0.031,1
62512,230,395,14,2,1.7999999999999998,0.78,0.065,1
62513,320,535,16,1,2.7,0.94,0.192,1
62524,210,450,16,3,5.1,1.86,0.591,1
62532,420,430,12,3,1.5,2.15,0.101,1
62542,330,380,14,1,3.3,1.05,0.595,1
62569,330,420,18,1,2.7,1.98,0.419,1
62571,295,435,20,3,2.4,1.3,0.063,1
62577,180,400,20,1,3.3,1.66,0.472,1
62581,360,565,20,1,1.2,0.61,0.015,1
62584,195,485,18,3,3.3,1.6,0.161,1
62594,275,530,20,1,2.1,0.82,0.067,1
62600,330,525,14,2,1.5,1.41,0.059,1
62601,285,520,14,2,1.5,0.96,0.041,1
62602,405,555,12,2,4.5,1.74,0.831,1
62604,290,455,18,3,3.0,0.97,0.083,1
62607,320,455,20,2,2.1,0.77,0.038,1
62610,200,545,14,2,1.5,1.75,0.072,1
62613,190,440,14,3,4.5,1.2,0.388,1
62648,300,420,16,3,5.7,2.33,0.967,1
62653,400,380,12,1,2.4,1.3,0.522,1
62655,255,490,16,2,1.5,1.9,0.068,1
62672,200,530,20,2,4.2,0.92,0.161,1
62678,285,500,18,2,4.2,1.65,0.361,1
62680,395,405,18,1,1.2,1.06,0.046,1
62692,230,435,20,2,2.4,1.01,0.072,1
62694,420,435,18,3,3.0,0.7,0.061,1
62695,315,500,16,1,2.7,1.18,0.259,1
62696,370,555,20,3,3.6,1.72,0.137,1
62702,500,485,20,1,4.2,1.63,0.579,1
62708,280,550,16,1,1.5,1.55,0.095,1
62709,370,395,12,3,2.1,0.68,0.069,1
62710,355,400,20,1,0.8999999999999999,1.9,0.039,1
62714,190,580,18,2,3.6,0.64,0.09,1
62720,150,545,20,3,1.7999999999999998,1.01,0.023,1
62730,350,425,12,1,2.1,2.45,0.67,1
62732,230,375,14,3,3.3,1.8,0.37,1
62739,170,490,12,2,2.7,0.8,0.161,1
62746,390,365,20,2,3.3,0.89,0.14,1
62747,230,415,20,2,5.7,0.58,0.246,1
62750,485,515,18,2,2.7,2.24,0.192,1
62765,280,420,14,3,6.0,1.49,0.875,1
62777,490,390,20,2,4.8,1.89,0.574,1
62779,195,500,12,3,4.5,1.73,0.639,1
62785,170,600,16,2,3.0,2.28,0.266,1
62787,270,555,18,2,2.4,1.71,0.109,1
62793,440,480,20,1,1.2,1.12,0.033,1
62794,290,550,14,2,2.1,0.69,0.054,1
62795,480,465,20,1,3.9,1.88,0.604,1
62799,305,385,20,2,1.5,0.92,0.029,1
62811,195,510,14,1,5.1,0.73,0.729,1
62816,330,555,12,3,1.2,2.09,0.048,1
62818,490,415,20,3,3.3,1.45,0.133,1
62826,270,510,18,1,3.0,1.29,0.274,1
62828,195,530,18,3,1.7999999999999998,1.99,0.054,1
62830,240,560,20,3,5.1,1.75,0.289,1
62835,235,415,16,2,3.3,2.42,0.506,1
62837,470,405,12,2,1.2,1.49,0.07,1
62838,145,360,14,2,3.0,2.16,0.58,1
62843,165,415,20,3,4.2,2.15,0.379,1
62851,490,535,18,3,5.1,2.3,0.456,1
62853,345,405,14,3,3.0,1.93,0.291,1
62855,165,410,18,1,3.3,1.66,0.557,1
62861,155,580,12,3,1.7999999999999998,1.84,0.094,1
62863,475,470,14,2,2.4,1.29,0.155,1
62867,235,360,12,1,2.4,0.97,0.416,1
62872,420,575,16,3,5.7,0.85,0.244,1
62873,295,385,18,2,6.0,0.92,0.553,1
62875,215,360,20,1,2.4,1.31,0.22,1
62878,465,355,16,2,2.4,0.51,0.065,1
62886,425,430,18,3,2.7,1.11,0.079,1
62891,355,520,14,1,3.3,2.08,0.843,1
62893,355,550,14,3,3.3,0.66,0.086,1
62907,235,480,18,3,3.6,0.83,0.098,1
62910,310,550,12,3,5.4,2.06,0.969,1
62911,380,380,12,3,1.5,1.27,0.068,1
62919,165,395,18,1,2.4,1.4,0.259,1
62923,195,550,16,1,3.6,1.33,0.474,1
62930,345,445,18,2,1.5,2.32,0.073,1
62937,340,490,20,1,3.6,0.81,0.211,1
62948,310,570,16,2,1.2,2.33,0.045,1
62951,410,435,18,1,2.1,0.8,0.098,1
62952,370,540,12,2,4.5,1.0,0.492,1
62968,335,575,18,2,6.0,0.54,0.205,1
62976,490,555,16,1,4.8,0.6,0.369,1
62979,240,530,14,2,2.1,1.5,0.124,1
62980,150,410,20,2,3.9,1.33,0.286,1
62986,335,475,16,1,0.8999999999999999,1.85,0.047,1
62992,400,390,20,3,2.7,1.38,0.093,1
62993,145,400,16,1,3.0,1.94,0.689,1
62994,355,435,18,2,1.7999999999999998,1.87,0.087,1
63001,410,355,16,2,2.7,2.36,0.382,1
63002,475,430,14,2,4.8,1.56,0.825,1
63005,270,585,20,3,3.9,1.76,0.159,1
63007,290,390,14,2,4.2,0.74,0.339,1
63015,160,515,20,3,2.7,1.35,0.074,1
63025,210,530,16,2,1.5,0.64,0.021,1
63031,190,590,18,1,1.5,1.99,0.091,1
63037,340,460,14,3,2.4,0.51,0.043,1
63050,340,470,20,1,2.7,2.42,0.372,1
63066,155,470,16,1,3.3,1.59,0.569,1
63071,375,525,12,3,6.0,0.75,0.455,1
63075,180,575,18,2,4.8,1.71,0.432,1
63080,235,440,18,2,4.2,0.66,0.17,1
63088,430,480,20,2,4.5,1.93,0.41,1
63094,345,575,14,1,3.3,1.63,0.594,1
63099,255,475,16,3,4.2,1.05,0.208,1
63100,435,405,14,2,3.9,0.94,0.351,1
63104,195,360,20,2,4.8,1.26,0.463,1
63110,235,460,20,2,4.2,1.75,0.355,1
63122,300,460,18,3,2.1,1.74,0.072,1
63125,280,505,12,2,5.4,1.08,0.827,1
63134,265,590,18,2,3.0,2.2,0.205,1
63137,450,440,18,2,3.6,2.36,0.428,1
63138,220,385,14,3,4.5,1.11,0.413,1
63144,275,430,18,2,2.1,0.81,0.053,1
63149,150,560,16,3,5.7,1.6,0.511,1
63152,430,395,14,3,5.4,1.59,0.791,1
63153,250,510,14,2,4.2,0.84,0.288,1
63154,220,525,20,3,4.8,1.91,0.306,1
63159,410,535,18,3,3.9,2.05,0.24,1
63162,255,495,16,3,2.1,2.42,0.115,1
63166,185,530,16,2,5.4,0.81,0.35,1
63177,390,510,20,2,1.5,0.92,0.02,1
63180,425,500,12,2,2.4,1.58,0.239,1
63181,310,530,20,2,1.2,1.07,0.015,1
63182,490,495,12,1,1.5,1.83,0.217,1
63183,465,540,12,1,3.6,0.95,0.592,1
63193,165,580,12,3,2.7,0.85,0.097,1
63195,205,440,16,3,3.9,2.21,0.423,1
63196,310,375,14,2,1.2,1.06,0.041,1
63221,495,395,18,1,1.7999999999999998,0.56,0.056,1
63226,275,355,20,3,3.9,2.24,0.373,1
63227,165,595,16,1,3.9,2.04,0.788,1
63228,400,485,16,2,4.2,0.88,0.244,1
63231,460,545,16,3,6.0,0.56,0.188,1
63245,450,455,18,3,3.6,1.5,0.178,1
63246,330,595,14,3,3.3,1.26,0.152,1
63248,240,360,20,1,0.8999999999999999,1.99,0.047,1
63254,145,570,14,1,2.1,1.14,0.173,1
63255,265,365,12,3,4.2,0.57,0.255,1
63262,230,585,14,2,5.4,1.53,0.751,1
63264,150,355,14,2,2.7,1.38,0.304,1
63268,500,470,18,3,3.9,1.29,0.173,1
63269,145,450,12,3,2.4,0.76,0.092,1
63270,220,430,14,1,2.1,2.15,0.436,1
63278,320,480,18,3,2.1,1.92,0.075,1
63282,165,465,12,3,1.5,2.4,0.108,1
63285,445,370,16,2,2.7,1.3,0.2,1
63293,185,580,20,3,2.4,0.82,0.03,1
63294,395,470,12,3,1.5,1.22,0.052,1
63299,500,595,14,2,1.5,1.79,0.065,1
63306,415,435,16,1,1.2,2.44,0.122,1
63315,285,415,18,3,2.7,1.3,0.101,1
63317,300,565,14,2,2.4,1.52,0.152,1
63330,370,465,16,3,3.9,1.06,0.181,1
63336,405,510,14,3,3.9,1.89,0.372,1
63337,260,480,20,1,2.4,0.92,0.11,1
63341,270,480,14,3,1.7999999999999998,2.48,0.113,1
63346,445,435,16,3,4.5,1.22,0.296,1
63352,285,375,14,2,2.4,1.64,0.256,1
63356,250,510,14,2,1.7999999999999998,0.77,0.049,1
63358,225,355,12,3,5.7,1.06,0.911,1
63359,325,445,16,3,3.0,1.38,0.148,1
63361,340,485,12,1,1.5,1.92,0.233,1
63362,215,560,16,2,5.1,0.93,0.334,1
63366,210,415,16,3,5.1,2.36,0.825,1
63367,230,435,20,2,3.3,2.36,0.317,1
63375,235,480,12,1,1.2,0.94,0.074,1
63390,470,395,14,1,2.7,0.57,0.206,1
63393,230,540,12,3,4.5,1.91,0.643,1
63395,360,530,18,2,4.8,2.45,0.649,1
63400,175,370,12,1,1.2,1.62,0.17,1
63417,185,525,16,3,5.4,2.05,0.618,1
63425,170,415,20,3,2.1,1.38,0.06,1
63429,230,500,12,2,4.5,1.56,0.843,1
63434,280,390,14,2,3.0,2.23,0.522,1
63444,410,470,18,3,1.7999999999999998,0.89,0.026,1
63454,265,570,16,1,4.5,1.36,0.723,1
63456,380,480,12,2,2.4,1.39,0.22,1
63457,425,370,18,3,5.1,0.92,0.28,1
63461,305,365,18,2,3.0,1.44,0.229,1
63463,360,535,16,3,1.2,0.61,0.008,1
63471,305,590,12,1,1.2,1.08,0.068,1
63477,330,355,14,3,1.7999999999999998,2.49,0.157,1
63479,400,500,14,2,2.4,1.35,0.152,1
63482,165,510,16,1,3.9,2.12,0.967,1
63486,230,580,20,3,5.1,1.34,0.213,1
63489,330,560,20,2,1.5,1.71,0.034,1
63490,280,475,20,1,1.7999999999999998,1.46,0.099,1
63494,330,555,14,3,3.6,1.06,0.164,1
63497,155,400,18,2,3.3,1.24,0.231,1
63506,405,455,20,1,3.9,2.13,0.704,1
63507,420,440,20,2,1.7999999999999998,1.63,0.061,1
63509,370,540,16,1,2.7,2.48,0.499,1
63511,225,540,14,1,1.5,1.65,0.134,1
63514,450,390,16,1,1.5,1.98,0.174,1
63520,235,585,16,3,1.7999999999999998,2.25,0.065,1
63530,195,580,12,2,3.6,1.39,0.412,1
63534,425,400,16,3,3.0,2.06,0.244,1
63541,185,500,12,2,6.0,0.91,0.881,1
63543,200,510,12,1,2.7,2.04,0.767,1
63546,175,475,16,3,4.5,1.83,0.434,1
63563,395,370,14,3,3.9,2.15,0.603,1
